采集时间,2017-09-26T23:52:46+08:00
固件版本,18.00.00
硬件SN,WX_S36213009


,p,q,r,s_at_x,s_at_y,t_at_x,t_at_y,rr_width,hr,s1,s1_s2,s2,s2_s1
1,-120,-22,499,37,-93.6190185547,258,172.380981445,736,81,45,0.208241134882,357,0.0618444532156
2,-120,-22,1235,35,-57.6666259766,250,195.333374023,708,84,33,0.187672317028,353,0.0680649280548
3,-124,-24,1943,39,-55.1428222656,258,193.857177734,724,82,41,0.259198307991,349,0.0693868547678
4,-120,-26,2667,17,123.952392578,248,153.952392578,752,79,41,0.236292928457,355,0.0632873997092
5,-108,-24,3419,41,-123.0,256,144.0,780,76,43,0.224038541317,363,0.0603670328856
6,-122,-24,4199,45,-115.238037109,254,151.761962891,780,76,43,0.246916905046,361,0.0670512393117
7,-108,-22,4979,35,-81.9523925781,258,160.047607422,754,79,45,0.188501089811,363,0.0947944372892
8,-130,-22,5733,39,-75.5714111328,252,179.428588867,748,80,41,0.309891700745,351,0.136752456427
9,-134,-26,6481,17,120.619018555,242,144.619018555,750,80,41,0.249220892787,355,0.0749974027276
10,-108,-24,7231,35,-75.5238037109,260,134.476196289,776,77,33,0.221269354224,365,0.0655228048563
11,-120,-24,8007,17,130.952392578,264,132.952392578,814,73,33,0.22197432816,363,0.109592229128
12,-114,-22,8821,45,-128.428588867,270,131.571411133,818,73,45,0.247995048761,367,0.141634702682
13,-126,-22,9639,19,172.095214844,254,146.095214844,784,76,45,0.203511759639,363,0.0709900781512
Max,-108,-22,9639,45,172.095214844,270,195.333374023,818,84,45,0.309891700745,367,0.141634702682
Min,-134,-26,499,17,-128.428588867,242,131.571411133,708,73,33,0.187672317028,349,0.0603670328856
Average,-119.538461538,-23.3846153846,4988.69230769,32.3846153846,-19.8864370493,255.692307692,156.959716797,763.384615385,78.1538461538,40.6923076923,0.231132639142,358.846153846,0.083406616862
